id,name,amount,currency,start_date,interval,category,end_date
1,Streamberry,19.99,usd,2026-04-22,monthly,Streaming,
2,Spookify,9.99,usd,2026-04-18,monthly,Streaming,
3,ViewTube Premium,15.99,usd,2026-05-01,monthly,Streaming,
4,Pear TV+,12.99,usd,2026-04-30,monthly,Streaming,
5,Ghibli+,11.99,usd,2026-04-25,monthly,Streaming,
6,Adobo Creative Cloud,54.99,usd,2026-04-20,monthly,Productivity,
7,Macrosoft 365,99.99,usd,2026-12-01,yearly,Productivity,
8,Potion,10.0,usd,2026-05-03,monthly,Productivity,
9,0Password,4.99,usd,2026-04-28,monthly,Security,
10,FjordVPN,47.88,usd,2027-01-15,yearly,Security,2026-01-27
11,GitHug Pro,4.0,usd,2026-05-07,monthly,Dev,
12,ChatGBT Plus,20.0,usd,2026-05-10,monthly,Dev,
13,iSmog+,2.99,usd,2026-04-17,monthly,Cloud,
14,Goggle One,2.99,usd,2026-04-19,monthly,Cloud,
15,Amazoo Prime,14.99,usd,2026-05-15,monthly,Shopping,
16,Gym,45.0,usd,2026-05-01,monthly,Health,
17,Domain,15.0,usd,2026-11-08,yearly,Infrastructure,
18,Web Hosting,6.99,usd,2026-04-24,monthly,Infrastructure,
